leg,instrument_name,strike,option_type,expiry,entry_price,entry_iv,entry_underlying,entry_gap_hours,data_quality_ok,session_start,session_close,session_type,session_dow,spot_at_open
atm_call,BTC-2JAN23-16500-C,16500.0,C,2023-01-02 08:00:00+00:00,0.0035,0.14679999999999999,16514.1,0.15,True,2023-01-01 08:00:00+00:00,2023-01-02 08:00:00+00:00,weekend,sunday,16504.22
atm_put,BTC-2JAN23-16500-P,16500.0,P,2023-01-02 08:00:00+00:00,0.0025,0.142,16517.19,0.0,True,2023-01-01 08:00:00+00:00,2023-01-02 08:00:00+00:00,weekend,sunday,16504.22
otm_call,BTC-2JAN23-16750-C,16750.0,C,2023-01-02 08:00:00+00:00,0.0005,0.2073,16516.9,0.0,True,2023-01-01 08:00:00+00:00,2023-01-02 08:00:00+00:00,weekend,sunday,16504.22
otm_put,BTC-2JAN23-16000-P,16000.0,P,2023-01-02 08:00:00+00:00,0.0005,0.38909999999999995,16520.59,0.06,True,2023-01-01 08:00:00+00:00,2023-01-02 08:00:00+00:00,weekend,sunday,16504.22
atm_call,BTC-3JAN23-16750-C,16750.0,C,2023-01-03 08:00:00+00:00,0.0025,0.1603,16718.15,0.0,True,2023-01-02 08:00:00+00:00,2023-01-03 08:00:00+00:00,weekday,monday,16726.62
atm_put,BTC-3JAN23-16750-P,16750.0,P,2023-01-03 08:00:00+00:00,0.006,0.2266,16710.57,0.03,True,2023-01-02 08:00:00+00:00,2023-01-03 08:00:00+00:00,weekday,monday,16726.62
otm_call,BTC-3JAN23-17500-C,17500.0,C,2023-01-03 08:00:00+00:00,0.0005,0.5077,16735.05,0.33,True,2023-01-02 08:00:00+00:00,2023-01-03 08:00:00+00:00,weekday,monday,16726.62
otm_put,BTC-3JAN23-16500-P,16500.0,P,2023-01-03 08:00:00+00:00,0.0005,0.198,16718.07,0.0,True,2023-01-02 08:00:00+00:00,2023-01-03 08:00:00+00:00,weekday,monday,16726.62
atm_call,BTC-4JAN23-16750-C,16750.0,C,2023-01-04 08:00:00+00:00,0.004,0.2229,16725.62,0.0,True,2023-01-03 08:00:00+00:00,2023-01-04 08:00:00+00:00,weekday,tuesday,16710.67
atm_put,BTC-4JAN23-16750-P,16750.0,P,2023-01-04 08:00:00+00:00,0.0055,0.23129999999999998,16725.75,0.07,True,2023-01-03 08:00:00+00:00,2023-01-04 08:00:00+00:00,weekday,tuesday,16710.67
otm_call,BTC-4JAN23-17250-C,17250.0,C,2023-01-04 08:00:00+00:00,0.0005,0.3751,16726.28,0.01,True,2023-01-03 08:00:00+00:00,2023-01-04 08:00:00+00:00,weekday,tuesday,16710.67
otm_put,BTC-4JAN23-16250-P,16250.0,P,2023-01-04 08:00:00+00:00,0.0005,0.3529,16703.38,0.86,True,2023-01-03 08:00:00+00:00,2023-01-04 08:00:00+00:00,weekday,tuesday,16710.67
atm_call,BTC-5JAN23-16750-C,16750.0,C,2023-01-05 08:00:00+00:00,0.01,0.289,16862.21,0.96,True,2023-01-04 08:00:00+00:00,2023-01-05 08:00:00+00:00,weekday,wednesday,16858.9
atm_put,BTC-5JAN23-16750-P,16750.0,P,2023-01-05 08:00:00+00:00,0.002,0.2398,16883.1,0.2,True,2023-01-04 08:00:00+00:00,2023-01-05 08:00:00+00:00,weekday,wednesday,16858.9
otm_call,BTC-5JAN23-17500-C,17500.0,C,2023-01-05 08:00:00+00:00,0.0005,0.4456,16847.1,0.5,True,2023-01-04 08:00:00+00:00,2023-01-05 08:00:00+00:00,weekday,wednesday,16858.9
otm_put,BTC-5JAN23-16500-P,16500.0,P,2023-01-05 08:00:00+00:00,0.0005,0.3002,16880.67,0.2,True,2023-01-04 08:00:00+00:00,2023-01-05 08:00:00+00:00,weekday,wednesday,16858.9
atm_call,BTC-6JAN23-16750-C,16750.0,C,2023-01-06 08:00:00+00:00,0.006,0.2238,16790.17,1.17,True,2023-01-05 08:00:00+00:00,2023-01-06 08:00:00+00:00,weekday,thursday,16804.35
atm_put,BTC-6JAN23-16750-P,16750.0,P,2023-01-06 08:00:00+00:00,0.0035,0.25489999999999996,16819.53,0.0,True,2023-01-05 08:00:00+00:00,2023-01-06 08:00:00+00:00,weekday,thursday,16804.35
otm_call,BTC-6JAN23-17500-C,17500.0,C,2023-01-06 08:00:00+00:00,0.0005,0.4838,16801.02,1.5,True,2023-01-05 08:00:00+00:00,2023-01-06 08:00:00+00:00,weekday,thursday,16804.35
otm_put,BTC-6JAN23-16500-P,16500.0,P,2023-01-06 08:00:00+00:00,0.001,0.31620000000000004,16819.61,0.0,True,2023-01-05 08:00:00+00:00,2023-01-06 08:00:00+00:00,weekday,thursday,16804.35
atm_call,BTC-7JAN23-16750-C,16750.0,C,2023-01-07 08:00:00+00:00,0.0075,0.2927,16795.74,0.3,True,2023-01-06 08:00:00+00:00,2023-01-07 08:00:00+00:00,weekday,friday,16794.77
atm_put,BTC-7JAN23-16750-P,16750.0,P,2023-01-07 08:00:00+00:00,0.004,0.25,16793.56,0.28,True,2023-01-06 08:00:00+00:00,2023-01-07 08:00:00+00:00,weekday,friday,16794.77
otm_call,BTC-7JAN23-17250-C,17250.0,C,2023-01-07 08:00:00+00:00,0.0005,0.33740000000000003,16798.29,0.43,True,2023-01-06 08:00:00+00:00,2023-01-07 08:00:00+00:00,weekday,friday,16794.77
otm_put,BTC-7JAN23-16250-P,16250.0,P,2023-01-07 08:00:00+00:00,0.0005,0.4078,16796.64,0.92,True,2023-01-06 08:00:00+00:00,2023-01-07 08:00:00+00:00,weekday,friday,16794.77
atm_call,BTC-8JAN23-17000-C,17000.0,C,2023-01-08 08:00:00+00:00,0.0015,0.13570000000000002,16944.45,0.01,True,2023-01-07 08:00:00+00:00,2023-01-08 08:00:00+00:00,weekend,saturday,16927.07
atm_put,BTC-8JAN23-17000-P,17000.0,P,2023-01-08 08:00:00+00:00,0.0055,0.1826,16948.19,0.1,True,2023-01-07 08:00:00+00:00,2023-01-08 08:00:00+00:00,weekend,saturday,16927.07
otm_call,BTC-8JAN23-17250-C,17250.0,C,2023-01-08 08:00:00+00:00,0.0005,0.2489,16942.73,0.21,True,2023-01-07 08:00:00+00:00,2023-01-08 08:00:00+00:00,weekend,saturday,16927.07
