session_start,session_type,session_dow,leg,strike,option_type,position,entry_price,expiry,contracts,price_time,spot_at_expiry,exit_price,pnl_btc,pnl_usd
2023-01-22 08:00:00+00:00,weekend,sunday,atm_call,23000.0,C,long,0.0075,2023-01-23 08:00:00+00:00,1,2023-01-23 08:00:00+00:00,22722.56,0.0,-0.0075,-170.4192
2023-01-22 08:00:00+00:00,weekend,sunday,atm_put,23000.0,P,long,0.0125,2023-01-23 08:00:00+00:00,1,2023-01-23 08:00:00+00:00,22722.56,0.012209891843172543,-0.000290108156827458,-6.592000000001325
2023-01-26 08:00:00+00:00,weekday,thursday,atm_call,23000.0,C,long,0.0095,2023-01-27 08:00:00+00:00,1,2023-01-27 08:00:00+00:00,22973.94,0.0,-0.0095,-218.25242999999998
2023-01-26 08:00:00+00:00,weekday,thursday,atm_put,23000.0,P,long,0.01,2023-01-27 08:00:00+00:00,1,2023-01-27 08:00:00+00:00,22973.94,0.0011343287220216172,-0.008865671277978384,-203.6793999999987
2023-01-31 08:00:00+00:00,weekday,tuesday,atm_call,23000.0,C,long,0.0085,2023-02-01 08:00:00+00:00,1,2023-02-01 08:00:00+00:00,22983.84,0.0,-0.0085,-195.36264000000003
2023-01-31 08:00:00+00:00,weekday,tuesday,atm_put,23000.0,P,long,0.0095,2023-02-01 08:00:00+00:00,1,2023-02-01 08:00:00+00:00,22983.84,0.0007031027017243356,-0.008796897298275664,-202.18648000000013
2023-02-15 08:00:00+00:00,weekday,wednesday,atm_call,22000.0,C,long,0.011,2023-02-16 08:00:00+00:00,1,2023-02-16 08:00:00+00:00,24583.39,0.1050868086134581,0.0940868086134581,2312.9727099999996
2023-02-15 08:00:00+00:00,weekday,wednesday,atm_put,22000.0,P,long,0.0055,2023-02-16 08:00:00+00:00,1,2023-02-16 08:00:00+00:00,24583.39,0.0,-0.0055,-135.208645
2023-02-16 08:00:00+00:00,weekday,thursday,atm_put,24500.0,P,long,0.0085,2023-02-17 08:00:00+00:00,1,2023-02-17 08:00:00+00:00,23799.41,0.029437284369654548,0.020937284369654547,498.2950150000001
2023-02-16 08:00:00+00:00,weekday,thursday,atm_call,24500.0,C,long,0.013,2023-02-17 08:00:00+00:00,1,2023-02-17 08:00:00+00:00,23799.41,0.0,-0.013,-309.39232999999996
2023-02-17 08:00:00+00:00,weekday,friday,atm_call,23750.0,C,long,0.0075,2023-02-18 08:00:00+00:00,1,2023-02-18 08:00:00+00:00,24591.94,0.0342364205507983,0.0267364205507983,657.5004499999988
2023-02-17 08:00:00+00:00,weekday,friday,atm_put,23750.0,P,long,0.013,2023-02-18 08:00:00+00:00,1,2023-02-18 08:00:00+00:00,24591.94,0.0,-0.013,-319.69521999999995
2023-03-01 08:00:00+00:00,weekday,wednesday,atm_call,23750.0,C,long,0.0085,2023-03-02 08:00:00+00:00,1,2023-03-02 08:00:00+00:00,23445.78,0.0,-0.0085,-199.28913
2023-03-01 08:00:00+00:00,weekday,wednesday,atm_put,23750.0,P,long,0.0055,2023-03-02 08:00:00+00:00,1,2023-03-02 08:00:00+00:00,23445.78,0.012975469359518052,0.007475469359518053,175.26821000000115
2023-03-03 08:00:00+00:00,weekday,friday,atm_call,22500.0,C,long,0.006,2023-03-04 08:00:00+00:00,1,2023-03-04 08:00:00+00:00,22344.21,0.0,-0.006,-134.06526
