session_start,session_type,session_dow,leg,strike,option_type,position,entry_price,expiry,contracts,spot_at_expiry,exit_price,pnl
2023-01-03 08:00:00+00:00,weekday,tuesday,atm_call,16750.0,C,short,0.004,2023-01-04 08:00:00+00:00,1,16858.9,108.90000000000146,-41.46440000000145
2023-01-03 08:00:00+00:00,weekday,tuesday,atm_put,16750.0,P,short,0.0055,2023-01-04 08:00:00+00:00,1,16858.9,0.0,92.72395
2023-01-03 08:00:00+00:00,weekday,tuesday,otm_call,17250.0,C,long,0.0005,2023-01-04 08:00:00+00:00,1,16858.9,0.0,-8.429450000000001
2023-01-03 08:00:00+00:00,weekday,tuesday,otm_put,16250.0,P,long,0.0005,2023-01-04 08:00:00+00:00,1,16858.9,0.0,-8.429450000000001
2023-01-04 08:00:00+00:00,weekday,wednesday,atm_call,16750.0,C,short,0.01,2023-01-05 08:00:00+00:00,1,16804.35,54.349999999998545,113.69350000000145
2023-01-04 08:00:00+00:00,weekday,wednesday,atm_put,16750.0,P,short,0.002,2023-01-05 08:00:00+00:00,1,16804.35,0.0,33.6087
2023-01-04 08:00:00+00:00,weekday,wednesday,otm_call,17500.0,C,long,0.0005,2023-01-05 08:00:00+00:00,1,16804.35,0.0,-8.402175
2023-01-04 08:00:00+00:00,weekday,wednesday,otm_put,16500.0,P,long,0.0005,2023-01-05 08:00:00+00:00,1,16804.35,0.0,-8.402175
2023-01-06 08:00:00+00:00,weekday,friday,atm_call,16750.0,C,short,0.0075,2023-01-07 08:00:00+00:00,1,16927.07,177.0699999999997,-50.11697499999971
2023-01-06 08:00:00+00:00,weekday,friday,atm_put,16750.0,P,short,0.004,2023-01-07 08:00:00+00:00,1,16927.07,0.0,67.70828
2023-01-06 08:00:00+00:00,weekday,friday,otm_call,17250.0,C,long,0.0005,2023-01-07 08:00:00+00:00,1,16927.07,0.0,-8.463535
2023-01-06 08:00:00+00:00,weekday,friday,otm_put,16250.0,P,long,0.0005,2023-01-07 08:00:00+00:00,1,16927.07,0.0,-8.463535
2023-01-07 08:00:00+00:00,weekend,saturday,atm_call,17000.0,C,short,0.0015,2023-01-08 08:00:00+00:00,1,16945.46,0.0,25.41819
2023-01-07 08:00:00+00:00,weekend,saturday,atm_put,17000.0,P,short,0.0055,2023-01-08 08:00:00+00:00,1,16945.46,54.54000000000087,38.66002999999911
2023-01-07 08:00:00+00:00,weekend,saturday,otm_call,17250.0,C,long,0.0005,2023-01-08 08:00:00+00:00,1,16945.46,0.0,-8.47273
2023-01-07 08:00:00+00:00,weekend,saturday,otm_put,16500.0,P,long,0.0005,2023-01-08 08:00:00+00:00,1,16945.46,0.0,-8.47273
2023-01-08 08:00:00+00:00,weekend,sunday,atm_call,17000.0,C,short,0.0025,2023-01-09 08:00:00+00:00,1,17192.11,192.11000000000058,-149.12972500000058
2023-01-08 08:00:00+00:00,weekend,sunday,atm_put,17000.0,P,short,0.006,2023-01-09 08:00:00+00:00,1,17192.11,0.0,103.15266000000001
2023-01-08 08:00:00+00:00,weekend,sunday,otm_call,17500.0,C,long,0.0005,2023-01-09 08:00:00+00:00,1,17192.11,0.0,-8.596055
2023-01-08 08:00:00+00:00,weekend,sunday,otm_put,16750.0,P,long,0.0005,2023-01-09 08:00:00+00:00,1,17192.11,0.0,-8.596055
2023-01-11 08:00:00+00:00,weekday,wednesday,atm_call,17500.0,C,short,0.005,2023-01-12 08:00:00+00:00,1,18154.45,654.4500000000007,-563.6777500000007
2023-01-11 08:00:00+00:00,weekday,wednesday,atm_put,17500.0,P,short,0.008,2023-01-12 08:00:00+00:00,1,18154.45,0.0,145.2356
2023-01-11 08:00:00+00:00,weekday,wednesday,otm_call,18500.0,C,long,0.0005,2023-01-12 08:00:00+00:00,1,18154.45,0.0,-9.077225
2023-01-11 08:00:00+00:00,weekday,wednesday,otm_put,16750.0,P,long,0.0005,2023-01-12 08:00:00+00:00,1,18154.45,0.0,-9.077225
2023-01-16 08:00:00+00:00,weekday,monday,atm_call,20750.0,C,short,0.016,2023-01-17 08:00:00+00:00,1,21202.86,452.8600000000006,-113.61424000000056
