session_start,session_type,session_dow,leg,strike,option_type,position,entry_price,expiry,contracts,price_time,spot_at_expiry,exit_price,pnl_btc,pnl_usd
2023-02-01 08:00:00+00:00,weekday,wednesday,atm_call,23000.0,C,short,0.0165,2023-02-02 08:00:00+00:00,1,2023-02-02 08:00:00+00:00,23805.72,0.033845647180593616,-0.017345647180593615,-412.92562000000106
2023-02-01 08:00:00+00:00,weekday,wednesday,atm_put,23000.0,P,short,0.012,2023-02-02 08:00:00+00:00,1,2023-02-02 08:00:00+00:00,23805.72,0.0,0.012,285.66864000000004
2023-02-01 08:00:00+00:00,weekday,wednesday,otm_call,25000.0,C,long,0.001,2023-02-02 08:00:00+00:00,1,2023-02-02 08:00:00+00:00,23805.72,0.0,-0.001,-23.80572
2023-02-01 08:00:00+00:00,weekday,wednesday,otm_put,21000.0,P,long,0.0005,2023-02-02 08:00:00+00:00,1,2023-02-02 08:00:00+00:00,23805.72,0.0,-0.0005,-11.90286
2023-02-14 08:00:00+00:00,weekday,tuesday,atm_call,21750.0,C,short,0.013,2023-02-15 08:00:00+00:00,1,2023-02-15 08:00:00+00:00,22103.49,0.01599249711244702,-0.002992497112447019,-66.14463000000157
2023-02-14 08:00:00+00:00,weekday,tuesday,atm_put,21750.0,P,short,0.0125,2023-02-15 08:00:00+00:00,1,2023-02-15 08:00:00+00:00,22103.49,0.0,0.0125,276.293625
2023-02-14 08:00:00+00:00,weekday,tuesday,otm_call,23500.0,C,long,0.0005,2023-02-15 08:00:00+00:00,1,2023-02-15 08:00:00+00:00,22103.49,0.0,-0.0005,-11.051745
2023-02-14 08:00:00+00:00,weekday,tuesday,otm_put,19500.0,P,long,0.0005,2023-02-15 08:00:00+00:00,1,2023-02-15 08:00:00+00:00,22103.49,0.0,-0.0005,-11.051745
2023-02-18 08:00:00+00:00,weekend,saturday,atm_call,24500.0,C,short,0.0115,2023-02-19 08:00:00+00:00,1,2023-02-19 08:00:00+00:00,24571.35,0.002903788355137123,0.008596211644862878,211.22052500000146
2023-02-18 08:00:00+00:00,weekend,saturday,atm_put,24500.0,P,short,0.01,2023-02-19 08:00:00+00:00,1,2023-02-19 08:00:00+00:00,24571.35,0.0,0.01,245.71349999999998
2023-02-18 08:00:00+00:00,weekend,saturday,otm_call,26500.0,C,long,0.0005,2023-02-19 08:00:00+00:00,1,2023-02-19 08:00:00+00:00,24571.35,0.0,-0.0005,-12.285675
2023-02-18 08:00:00+00:00,weekend,saturday,otm_put,22750.0,P,long,0.0005,2023-02-19 08:00:00+00:00,1,2023-02-19 08:00:00+00:00,24571.35,0.0,-0.0005,-12.285675
2023-02-19 08:00:00+00:00,weekend,sunday,otm_put,23000.0,P,long,0.0005,2023-02-20 08:00:00+00:00,1,2023-02-20 08:00:00+00:00,24461.24,0.0,-0.0005,-12.230620000000002
2023-02-19 08:00:00+00:00,weekend,sunday,otm_call,26000.0,C,long,0.001,2023-02-20 08:00:00+00:00,1,2023-02-20 08:00:00+00:00,24461.24,0.0,-0.001,-24.461240000000004
2023-02-19 08:00:00+00:00,weekend,sunday,atm_call,24500.0,C,short,0.0135,2023-02-20 08:00:00+00:00,1,2023-02-20 08:00:00+00:00,24461.24,0.0,0.0135,330.22674
2023-02-19 08:00:00+00:00,weekend,sunday,atm_put,24500.0,P,short,0.0095,2023-02-20 08:00:00+00:00,1,2023-02-20 08:00:00+00:00,24461.24,0.00158454763536102,0.00791545236463898,193.62178000000162
2023-03-06 08:00:00+00:00,weekday,monday,atm_call,22500.0,C,short,0.005,2023-03-07 08:00:00+00:00,1,2023-03-07 08:00:00+00:00,22421.23,0.0,0.005,112.10615
